course_id,course_name,category,weekly_hours,has_syllabus_url,has_parsed_syllabus_text,source_board_json,source_repo_json,source_merged_json,source_raw_json,source_syllabus_json,supabase_offered_semesters,supabase_effective_semesters,merged_json_semester,raw_json_semesters,override_semesters,semester_in_any_source,semester_source,effective_semester_value,app_offered_semesters,app_effective_semesters,semester_in_app,merged_prereq_ids,prereq_raw_text_snippet,supabase_prereq_text,prereqs_on_mandatory_board,prereqs_in_repo_elective_pool,prereqs_NOT_in_map_foundational,prereq_only_as_text,schedulability_status,problem_category,problem_hebrew,can_fix_automatically,required_fix
0509-4010,ננו לווינים- בין חינוך למדעים למהפכת החלל,other_specialization,3,True,True,False,True,True,True,True,,,B,"[""B""]","[""B""]",True,COURSE_DATA_OVERRIDES (client-side patch),"[""B""]","[""B""]","[""B""]",True,,,False,,,,False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0512-1202,אלקטרוניקה בסיסית,other_specialization,,True,True,False,True,False,False,False,,,,,,False,,[],,,False,,,True,,,,True,unschedulable,semester_not_in_current_sources,חסרות שעות שבועיות — אין נתוני שעות,False,manual: add weekly_hours to Supabase
0512-1203,מבוא לעיבוד אותות,other_specialization,4,True,False,False,True,True,True,True,,,B,"[""B""]","[""B""]",True,COURSE_DATA_OVERRIDES (client-side patch),"[""B""]","[""B""]","[""B""]",True,,,False,,,,False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0512-1204,המרת אנרגיה והנע חשמלי,,3.5,True,True,True,False,False,False,False,,"[""year_3_semester_a""]",,,,True,supabase:effective_allowed_semesters,"[""year_3_semester_a""]","[""year_3_semester_a""]","[""year_3_semester_a""]",True,,,True,,,,True,fully_schedulable,fully_schedulable,קורס חובה קבוע — אין בעיה,False,
0512-2508,התקנים אלקטרוניים,other_specialization,4,True,True,False,True,True,True,True,,,A,"[""A"", ""B""]","[""A"", ""B""]",True,COURSE_DATA_OVERRIDES (client-side patch),"[""A"", ""B""]","[""A"", ""B""]","[""A"", ""B""]",True,"[""0512-2830""]","פיזיקה קוואנטית ומצב מוצק (05122830) דרישות קדם ספציפיות בקורס בהתאם לתוכנית הלימודים הנלמדת, מופיעו...",True,,,"[""0512-2830""]",False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0512-4200,מבוא לעיבוד ספרתי של אותות,other_specialization,4,True,True,False,True,True,True,True,,,A,"[""A"", ""B""]","[""A"", ""B""]",True,COURSE_DATA_OVERRIDES (client-side patch),"[""A"", ""B""]","[""A"", ""B""]","[""A"", ""B""]",True,,,False,,,,False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0512-4362,מערכות משוב שימושיות,other_specialization,4,True,False,False,True,True,True,True,,,A,"[""A""]","[""A""]",True,COURSE_DATA_OVERRIDES (client-side patch),"[""A""]","[""A""]","[""A""]",True,,,False,,,,False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0512-4700,טכנולוגיות מיקרו וננו אלקטרוניקה,other_specialization,4,True,True,False,True,True,True,True,,,B,"[""B""]","[""B""]",True,COURSE_DATA_OVERRIDES (client-side patch),"[""B""]","[""B""]","[""B""]",True,"[""0512-2508""]","התקנים אלקטרוניים (05122508) דרישות קדם ספציפיות בקורס בהתאם לתוכנית הלימודים הנלמדת, מופיעות בדף הי...",True,,"[""0512-2508""]",,False,schedulable_with_prereq_constraint,prerequisite_available_but_not_scheduled,דרישות קדם הן קורסי בחירה במאגר (0512-2508) — חייבות להיות מתוזמנות לפני,False,planner: prereqsSatisfiedForPlacementLocal already handles this ordering
0512-4702,מערכות ממוזערות לבישות,other_specialization,4,True,True,False,True,True,True,True,,,A,"[""A""]","[""A""]",True,COURSE_DATA_OVERRIDES (client-side patch),"[""A""]","[""A""]","[""A""]",True,,,False,,,,False,fully_schedulable,fully_schedulable,"ניתן לתזמון — יש סמסטר, שעות, ודרישות קדם מטופלות",False,
0542-2400,תכן מכני (1),,4,True,True,True,False,False,False,False,,"[""year_3_semester_a""]",,,,True,supabase:effective_allowed_semesters,"[""year_3_semester_a""]","[""year_3_semester_a""]","[""year_3_semester_a""]",True,,,True,,,,True,fully_schedulable,fully_schedulable,קורס חובה קבוע — אין בעיה,False,
0542-2500,מכניקת הזורמים (1),,5,True,True,True,False,False,False,False,,"[""year_3_semester_a""]",,,,True,supabase:effective_allowed_semesters,"[""year_3_semester_a""]","[""year_3_semester_a""]","[""year_3_semester_a""]",True,,,True,,,,True,fully_schedulable,fully_schedulable,קורס חובה קבוע — אין בעיה,False,
0542-3112,פרויקט יישומי בהנדסה מכנית,other_specialization,2,True,True,False,True,False,False,False,,,,,,False,,[],,,False,,,False,,,,False,unschedulable,semester_not_in_current_sources,יש syllabus אך אין מידע על סמסטר בשום מקור,False,upstream: run pipeline to extract semester from scrape/syllabus
0542-3243,מבוא לבקרה,,5.5,True,True,True,False,False,False,False,,"[""year_3_semester_a""]",,,,True,supabase:effective_allowed_semesters,"[""year_3_semester_a""]","[""year_3_semester_a""]","[""year_3_semester_a""]",True,,,True,,,,True,fully_schedulable,fully_schedulable,קורס חובה קבוע — אין בעיה,False,
0542-3620,מעבר חם,,4,True,True,True,False,False,False,False,"[""A""]","[""year_3_semester_a""]",,,,True,supabase:effective_allowed_semesters,"[""year_3_semester_a""]","[""year_3_semester_a"", ""year_3_semester_b""]","[""year_3_semester_a"", ""year_3_semester_b""]",True,,,False,,,,False,fully_schedulable,fully_schedulable,קורס חובה קבוע — אין בעיה,False,
0542-3780,תהליכי עיבוד (1),,3,True,True,True,False,False,False,False,"[""A""]","[""year_3_semester_a""]",,,,True,supabase:effective_allowed_semesters,"[""year_3_semester_a""]","[""year_3_semester_a"", ""year_3_semester_b""]","[""year_3_semester_a"", ""year_3_semester_b""]",True,,,True,,,,True,fully_schedulable,fully_schedulable,קורס חובה קבוע — אין בעיה,False,
0542-3791,תהליכי עיבוד - מעבדה,,2,True,True,True,False,False,False,False,"[""A""]","[""year_3_semester_a""]",,,,True,supabase:effective_allowed_semesters,"[""year_3_semester_a""]","[""year_3_semester_a"", ""year_3_semester_b""]","[""year_3_semester_a"", ""year_3_semester_b""]",True,,,False,,,,False,fully_schedulable,fully_schedulable,קורס חובה קבוע — אין בעיה,False,
0542-3792,הנדסת ניסויים ומדידות - מעבדה,,4,True,True,True,False,False,False,False,"[""A"", ""B""]","[""year_3_semester_a"", ""year_3_semester_b""]",,,,True,supabase:effective_allowed_semesters,"[""year_3_semester_a"", ""year_3_semester_b""]","[""year_3_semester_a"", ""year_3_semester_b""]","[""year_3_semester_a"", ""year_3_semester_b""]",True,,,True,,,,True,fully_schedulable,fully_schedulable,קורס חובה קבוע — אין בעיה,False,
